title;number_of_issues;publication_span(months);first_publication_year;total_page_number
Revista Azul;128;30;1894;2048
Revista Moderna;110;62;1898;1952
Revista Moderna de México;94;94;1903;
Savia Moderna;5;5;1906;320
Revista Azul segunda época;6;2;1907;
Argos;6;2;1912;143
Nosotros;10;19;1912;250
Gladios;2;2;1916;184
La Nave;1;1;1916;127
Pegaso;20;5;1917;318
San-Ev-Ank;15;5;1918;
Revista Nueva;2;1;1919;58
México Moderno;15;35;1920;982
El Maestro;14;27;1921;1762
Actual;3;8;1921;
Vida Mexicana;2;4;1922;6
Prisma;8;8;1922;
La Falange;7;11;1922;
Irradiador;3;2;1923;
Antena;5;5;1924;
Horizonte;10;14;1926;482
Ulises;6;10;1927;216
Contemporáneos;37;43;1928;3491
