title;number_of_issues;publication_span(months);first_publication_year;total_page_number;percentage_of_transl_in_total;number_of_transls_per_issue
Revista Azul;128;30;1894;2048;22.37768555;3.09375
Revista Moderna;110;62;1898;1952;22.57581967;2.58181818181818
Revista Moderna de México;94;94;1903;;;
Savia Moderna;5;5;1906;320;2.90625;0.6
Revista Azul segunda época;6;2;1907;;;
Argos;6;2;1912;143;9.965034965;1.5
Nosotros;10;19;1912;250;05.févr;0.3
Gladios;2;2;1916;184;0;0
La Nave;1;1;1916;127;7.086614173;1
Pegaso;20;5;1917;318;10.39308176;1.6
San-Ev-Ank;15;5;1918;;;
Revista Nueva;2;1;1919;58;4.74137931;0.5
México Moderno;15;35;1920;982;6.720977597;1.8
El Maestro;14;27;1921;1762;32.00624291;7.28571428571429
Actual;3;8;1921;;;
Vida Mexicana;2;4;1922;6;;
Prisma;8;8;1922;;;
La Falange;7;11;1922;;;
Irradiador;3;2;1923;;;
Antena;5;5;1924;;;
Horizonte;10;14;1926;482;21.2966805;2.9
Ulises;6;10;1927;216;10.76388889;0.833333333333333
Contemporáneos;37;43;1928;3491;18.18963048;0.972972972972973
