title;number_of_issues;number_of_translations;signed-translations;anon_si;anon_no;proportion_identified_translations_signed_and_anon_si;proportion_anonymous_translations_anon_si_and_anon_no;proportion_signed;average_issue_length;total_page_number;total_transl_pages;percentage_of_transl_in_total;number_of_translations_per_issue;publication_span(months);first_publication_year;number_poetry_translations;proportion_of_poetry_of_all_translations;number_translations_from_French;proportion_translations_from_French;number_translations_from_English;proportion_translations_from_English;total_individual_translators(identified);total_women_translators(identified);proportion_women_translators_of_known_translators;translations_made_by_women_translators;proportion_translations_made_by_women_translators_of_all_translations;proportion_translations_made_by_women_translators_of_all_signed_translations;total_page_space_signed_translations;page_space_women_translators;proportion_page_space_signed_occupied_by_women_translators;total_transl_of_women_authors;proportion_transl_women_authors_of_total_translations;total_individual_authors;individual_women_authors;proportion_women_authors;page_space_women_authors;proportion_page_space_women_authors;average_poems_per_author;average_poem_per_woman_author;total_poetry_transl_space;women_poets_space;proportion_women_poets_transl_space
Revista Azul;128;396;61;82;251;36.11111111;84.09090909;15.4040404040404;16;2048;458,295;22.38;3.09375;30;1894;64;16.16161616;316;79.7979798;15;3.787878788;41;2;4.87804878;2;0.505050505;3.278688525;46.7;1.7;3.640256959;4;1.01010101;127;4;3.149606299;5.93;1.293926401;;;;;
Revista Moderna;110;284;88;66;130;54.22535211;69.01408451;30.9859154929577;17,74545455;1952;440,68;22.58;2.581818182;62;1898;76;26.76056338;189;66.54929577;23;8.098591549;27;0;0;0;0;0;139.45;0;0;5;1.76056338;143;5;3.496503497;9.51;2.158028501;;;;;
Revista Moderna de México;94;;;;;;;;;;;;;94;1903;;;;;;;;;;;;;;;;;;;;;;;;;;;
Savia Moderna;5;3;2;0;1;66.66666667;33.33333333;;64;320;9,3;2.91;0.6;5;1906;;;;;;;1;0;0;0;0;0;;;;0;0;3;0;0;0;0;;;;;
Revista Azul segunda época;6;;;;;;;;;;;;;2;1907;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argos;6;9;2;6;1;88.88888889;77.77777778;;23,83333333;143;14,25;9.97;1.5;2;1912;;;;;;;2;0;0;0;0;0;;;;0;0;9;0;0;0;0;;;;;
Nosotros;10;3;3;0;0;100;0;;25;250;13;5.20;0.3;19;1912;;;;;;;2;0;0;0;0;0;;;;1;33.33333333;3;1;33.33333333;1;7.692307692;;;;;
Gladios;2;0;0;0;0;;;;92;184;0;0;0;2;1916;;;;;;;0;0;;0;;;;;;0;;0;0;;0;;;;;;
La Nave;1;1;1;0;0;100;0;;127;127;9;7.09;1;1;1916;;;;;;;1;0;0;0;0;0;;;;0;0;1;0;0;0;0;;;;;
Pegaso;20;32;12;6;14;56.25;62.5;37.5;15,9;318;33,05;10.39;1.6;5;1917;5;15.625;18;56.25;9;28.125;6;0;0;0;0;0;8.8;0;0;3;9.375;21;3;14.28571429;1.55;4.689863843;;;;;
San-Ev-Ank;15;;;;;;;;;;;;;5;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revista Nueva;2;1;0;0;1;0;100;;29;58;2,75;4.74;0.5;1;1919;;;;;;;0;0;;0;0;;;;;1;100;1;1;100;2.75;100;;;;;
México Moderno;15;27;16;1;10;62.96296296;40.74074074;59.2592592592593;65,46666667;982;66;6.72;1.8;35;1920;5;18.51851852;5;18.51851852;15;55.55555556;12;0;0;0;0;0;57.2;0;0;2;7.407407407;22;2;9.090909091;2.1;3.181818182;;;;;
El Maestro;14;102;16;4;82;19.60784314;84.31372549;15.6862745098039;125,8571429;1762;563,95;32.01;7.285714286;27;1921;13;12.5;21;20.19230769;47;45.19230769;14;2;14.28571429;2;1.960784314;12.5;78.35;3.9;4.977664327;3;2.941176471;62;3;4.838709677;9.6;1.702278571;;;;;
Actual;3;;;;;;;;2;6;;;;8;1921;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vida Mexicana;2;;;;;;;;;;;;;4;1922;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prisma;8;;;;;;;;;;;;;8;1922;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Falange;7;;;;;;;;;;;;;11;1922;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irradiador;3;;;;;;;;;;;;;2;1923;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antena;5;;;;;;;;;;;;;5;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horizonte;10;29;2;1;26;10.34482759;93.10344828;6.89655172413793;48,2;482;102,65;21.3;2.9;14;1926;1;3.448275862;7;24.13793103;12;41.37931034;2;0;0;0;0;0;5;0;0;0;0;23;0;0;0;0;;;;;
Ulises;6;5;0;0;5;0;100;;36;216;23,25;10.76;0.833333333;10;1927;;;;;;;0;0;;0;0;;;;;0;0;4;0;0;0;0;;;;;
Contemporáneos;37;36;32;0;4;88.88888889;11.11111111;88.8888888888889;94,35;3491;635;18.19;0.972972973;43;1928;9;25;14;38.88888889;15;41.66666667;21;1;4.761904762;1;2.777777778;3.125;570.1;25;4.38519558;1;2.777777778;28;1;3.571428571;16;2.519685039;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los grandes poetas norteamericanos (Davalos);1;5;5;0;0;100;0;17;;17;6,95;40,88235294;5;;1901;;;;;;;;;;;;;;;;0;0;5;0;0;0;0;1;0;6.95;0;0
Musas de Francia (Davalos);1;55;55;0;0;100;0;;;;135;;55;;1913;;;;;;;;;;;;;;;;3;5.45454545454545;19;1;5.26315789473684;4;2.96296296296296;2.89473684210526;3;135;4;2.96296296296296
Jardines de Francia (Gonzalez Martinez);1;61;61;0;0;100;0;;;;126;;61;;1919;;;;;;;;;;;;;;;;4;6.55737704918033;22;2;9.09090909090909;12;9.52380952380952;2.77272727272727;2;126;12;9.52380952380952
La poesia norteamericana moderna (Novo);1;30;30;0;0;100;0;;;;23;;30;;1924;;;;;;;;;;;;;;;;16;53.3333333333333;17;6;35.2941176470588;7.85;34.1304347826087;1.76470588235294;2.66666666666667;23;7.85;34.1304347826087
Poetas franceses modernos (Novo);1;18;18;0;0;100;0;;;;22;;18;;1924;;;;;;;;;;;;;;;;2;11.1111111111111;17;1;5.88235294117647;1;4.54545454545455;1.05882352941176;2;22;1;4.54545454545455
Musas de Albion (Davalos);1;68;68;0;0;100;0;;;;155;;68;;1930;;;;;;;;;;;;;;;;7;10.2941176470588;32;4;12.5;13;8.38709677419355;2.125;1.75;155;13;8.38709677419355
APMG;1;;;;;;;;;;;;0;;1919;;;;;;;;;;;;;;;;;;;;;;;;;;;
