poet;number_of_poems
Carl Sandburg;70
Amy Lowell;55
Ezra Pound;49
Alice Corbin;47
Harriet Monroe;42
Helen Hoyt;41
William Carlos Williams;41
D. H. Lawrence;37
Max Michelson;37
William H. Simpson;33
Wallace Stevens;31
William Butler Yeats;31
Agnes Lee;26
John Gould Fletcher;26
Grace Hazard Conkling;25
Marion Strobel;25
Yvor Winters;25
Emanuel Carnevali;24
Marjorie Allen Seiffert;24
Maxwell Bodenheim;23
Mark Turbyfill;22
Witter Bynner;22
Arthur Davison Ficke;21
H. L. Davis;21
Frances Shaw;20
Hilda Conkling;20
Sara Teasdale;20
Vachel Lindsay;20
Helen Louise Birch;19
Richard Aldington;18
Wilfrid Wilson Gibson;18
Oscar Williams;17
Robert J. Roe;17
Eunice Tietjens;16
Florence Kiper Frank;16
Laura Sherry;16
Pearl Andelson;16
Louise Ayres Garnett;15
Witter Bynner and Kiang Kung-hu, trans.;15
Alfred Kreymborg;14
Constance Lindsay Skinner;14
Edgar Lee Masters;14
Elizabeth Madox Roberts;14
H. D.;14
Mary Carolyn Davies;14
Eda Lou Walton;13
Evelyn Scott;13
Grace Fallow Norton;13
Lola Ridge;13
Richard Butler Glaenzer;13
Baker Brownell;12
Genevieve Taggard;12
Haniel Long;12
Iris Barry;12
Leonora Speyer;12
Lucy Eddy;12
Margaret Widdemer;12
Skipwith Cannéll;12
Arthur Waley, trans.;11
Edna St. Vincent Millay;11
Florence Ayscough and Amy Lowell, trans.;11
Loureine Aber;11
Marsden Hartley;11
Clara Shanafelt;10
Emmy Veronica Sanders;10
Frank S. Gordon;10
Glenn Ward Dresbach;10
John Hall Wheelock;10
Louise Driscoll;10
Orrick Johns;10
Willard Wattles;10
Carlyle F. McIntyre;10
Dorothy Butts;9
Ernest Rhys;9
Joseph Warren Beach;9
Jun Fujita;9
Mary Austin;9
Morris Gilbert;9
Padraic Colum;9
Florence Kilpatrick Mixter;9
Robert M. McAlmon;9
Aline Kilmer;8
Charles R. Murphy;8
David O’Neil;8
Edith Wyatt;8
F. S. Flint;8
Florence Wilkinson;8
James Joyce;8
Jessica Nelson North;8
Marjorie Meeker;8
Marya Zaturensky;8
N. Howard Thorp;8
Rabindranath Tagore;8
Scharmel Iris;8
T. S. Eliot;8
William Rose Benét;8
Henry Bellamann;8
Antoinette De Coursey Patterson;8
Anna Wickham;7
Conrad Aiken;7
Edward Sapir;7
Edwin Ford Piper;7
Elizabeth J. Coatsworth;7
Florence Ripley Mastin;7
Hazel Hall;7
Karle Wilson Baker;7
Louis Untermeyer;7
Mary Aldis;7
Muna Lee;7
Fannie Stearns Davis;7
Lew Sarett;7
Moireen Fox;7
Ajan Syrian;6
Babette Deutsch;6
Beatrice Ravenel;6
Charles deGuire Christoph;6
Clement Wood;6
Cloyd Head;6
Florence Randal Livesay, trans.;6
Gladys Cromwell;6
Glenway Wescott;6
H. Thompson Rich;6
Helen Dudley;6
Hervey Allen;6
John Reed;6
John Rodker;6
John Strong Newberry, trans.;6
Joseph Campbell;6
Katherine Wisner McCluskey;6
Lee Wilson Dodd;6
Lyon Sharman;6
Madison Cawein;6
Marx G. Sabel;6
Maurice Lesemann;6
Morris Bishop;6
Nelson Antrim Crawford;6
Sherwood Anderson;6
Miriam Allen deFord;6
Viola I. Paradise;6
Alfred Hitch;5
Arthur D. Rees;5
Charles Granville;5
David Morton;5
Dorothy Dudley;5
DuBose Heyward;5
Elfrida De Renne Barrow;5
Elizabeth Coatsworth;5
Ellen Margaret Janson;5
Fenton Johnson;5
Florence Randal Livesay;5
Ford Madox Hueffer;5
Frederic Manning;5
Frederick R. McCreary;5
G. Tucker Bispham;5
H. W. Stewart;5
Harold Monro;5
Horace Holley;5
Isidor Schneider;5
Jean Starr Untermeyer;5
Jeannette Marks;5
Jewell Bothwell Tull;5
John Russell McCarthy;5
Josephine Pinckney;5
Louise Bogan;5
Louise S. Hammond, trans.;5
Marianne Moore;5
Mason A. Freeman, Jr.;5
Maurice Browne;5
Maurine Smith;5
Nancy Campbell;5
Wilton Agnew Barrett;5
Winifred Webb;5
Allen Upward;4
Benjamin Rosenbaum;4
Charles Erskine Scott Wood;4
Charles L. O’Donnell;4
Clark Ashton Smith;4
Clifford Franklin Gessler;4
David Greenhood;4
David Osborne Hamilton;4
Dorothy Dow;4
Edward Sapir, trans.;4
Elinor Wylie;4
Ernest Walsh;4
Eunice Tietjens, trans.;4
Frederick Shea Jesson;4
Hamlin Garland;4
Harley Graves;4
Hi Simons;4
Hortense Flexner;4
James Stephens;4
Janet Loxley Lewis;4
John Crawford;4
John Curtis Underwood;4
John Drinkwater;4
John V. A. Weaver;4
José Santos Chocano;4
Joyce Kilmer;4
Lily A. Long;4
Margaret DeLaughter;4
Margretta Scott;4
Mercedes de Acosta;4
Muriel Stuart;4
Richard Hunt;4
Rosalind Mason;4
Rupert Brooke;4
Ruth Suckow;4
Samuel McCoy;4
Susan M. Boogher;4
Victor Starbuck;4
Wallace Gould;4
William Griffith;4
William Laird;4
Alva N. Turner;3
Arthur L. Phelps;3
Arthur Symons;3
Bliss Carman;3
Cecil John;3
Douglas Goldring;3
E. Preston Dargan;3
Edmund Kemper Broadus;3
Edna Wahlert McCourt;3
Edward Eastaway;3
Edwin Arlington Robinson;3
Ellwood Colahan;3
Eloise Robinson;3
Frances Dickenson Pinder;3
George O’Neil;3
George Sterling;3
Harold Cook;3
Harold Holston Wright;3
Hermann Hagedorn;3
Howard Mumford Jones;3
Jeanne D’Orge;3
Joseph Andrew Galahad;3
Kathryn White Ryan;3
Leo Grudsky;3
Leon Herald;3
Leslie Nelson Jennings;3
Louis Gilmore;3
Louis Grudin;3
Louise Redfield;3
Louise Townsend Nicholl;3
Malcolm Cowley;3
Marguerite Wilkinson;3
Mary Eastwood Knevels;3
Maurice Aisen, trans.;3
Myrtle Eberstein;3
Osbert Sitwell;3
Paul Tanaquil;3
Phil LeNoir;3
Ridgely Torrence;3
Robert Frost;3
Robert Graves;3
Robert Nichols;3
Robert Redfield, Jr.;3
Ruth Harwood;3
Salomón de la Selva;3
Samuel Roth;3
Scudder Middleton;3
Seumas O’Sullivan;3
W. Bryher;3
Walter de la Mare;3
Winifred Waldron;3
Zoë Akins;3
Anita Fitch;3
Anna Spencer Twitchell;3
Julia Cooley;3
Violet Hunt;3
A. A. Rosenthal;2
Alfred Battle Bealle;2
Alfred Perceval Graves;2
Alice D. Lippman;2
Allan Updegraff;2
Amanda Hall;2
Amy Bonner;2
Anne Elizabeth Wilson;2
Arthur V. Kent;2
B. K. van Slyke;2
Caroline Dudley;2
Carolyn Hillman;2
Cecily Fryer;2
Charles Hanson Towne;2
Clinton Joseph Masseck;2
Clinton Scollard;2
Daphne Kieffer Thompson;2
Dorothy McVickar;2
Earl Marlatt;2
Edmund Wilson, Jr.;2
Edward Townsend Booth;2
Edwin Curran;2
Eleanor Rogers Cox;2
Elizabeth Gibson Cheyne;2
Ella Young;2
Elsie A. Gidlow;2
Emma Hawkridge;2
Flora Shufelt Rivola;2
Floyd Dell;2
Frances Gregg;2
Francis Buzzell;2
Georgia Wood Pangborn;2
Gladys Edgerton;2
Gwendolen Haste;2
H. C. Long;2
Harlow Clarke;2
Helen Muckley;2
Henry B. Fuller;2
Henry Saul Zolinsky;2
Ida Judith Johnson;2
Isaac Rosenberg;2
J. K. Wetherill;2
J. Van Alstyne Weaver, Jr.;2
James Church Alvord;2
Janet Norris Bangs;2
Jean O’Brien;2
Jessie MacDonald;2
John Cournos;2
John Cowper Powys;2
John H. Gavin;2
John McClure;2
John R. C. Peyton;2
Joseph Auslander;2
Kate Buss;2
Kemper Hammond Broadus;2
Konstantin Balmont;2
Lewis Worthington Smith;2
Leyland Huckfield;2
Louis Golding;2
M. Lyster;2
Mabel Linn;2
Martha Foote Crow;2
May Thomas Milam;2
Meredith Beyers;2
Mildred Plew Merryman;2
Moon Kwan, trans.;2
Morris Abel Beer;2
Muriel Ciolkowska;2
Patrick Orr;2
Pauline B. Barrington;2
Rainer Maria Rilke;2
Raymond Holden;2
Richard Burton;2
Robert Alden Sanborn;2
Robert Gilbert Welsh;2
Rosamond Langbridge;2
Ruth Gaines;2
Ruth Tenney;2
Sarah Unna;2
the Sea;2
Thomas Wood Stevens;2
Travis Hoke;2
Wade Oliver;2
Wanda Petrunkevitch;2
William Saphier;2
William Zorach;2
Katherine Howard;2
A. Alondra;1
A. J. Russell;1
A. N.;1
Abraham Yarmolinsky, trans.;1
Adolf Wolff;1
Albert Edmund Trombly, trans.;1
Albert Ehrenstein;1
Albert Frederick Wilson;1
Alfred Noyes;1
Alice Brown;1
Alice Louise Jones;1
Alice Meynell;1
Alice Ormond Campbell;1
Alison Buchanan;1
Allene Gregory;1
Alter Brody;1
Amy Sebree-Smith;1
Andrea Hofer Proudfoot;1
Anita Grannis;1
Anne Deacon;1
Anonymous;1
Archie Austin Coates;1
Arno Holz;1
Arthur H. Nethercot;1
Arthur Johnson;1
Arthur Stringer;1
Athena McFadden;1
Beatrice Stevens;1
Ben Hecht;1
Bernard Raymund;1
Blanche Dismorr;1
C. Cunningham;1
Cale Young Rice;1
Calvin Dill Wilson;1
Carroll Lane Fenton;1
Catherine Wells;1
Charles Hamilton Musgrove;1
Charles L. Sherwood;1
Charles Vildrac;1
Charles Wharton Stork, trans.;1
Charlotte Becker;1
Cloyd Head and Mary Gavin;1
Daniel Henderson;1
Dean B. Lyman, Jr.;1
Dhan Gopal Mukerji;1
Doris Campbell;1
Dorothy Keeley;1
E. Merrill Root;1
Edward Pickerill;1
Eleanor Hammond;1
Elizabeth Hart Pennell;1
Emilia Stuart Lorimer;1
Ernest Fenollosa;1
Esther A. Whitmarsh;1
Esther Louise Ruble;1
Ethel Talbot Scheffauer;1
Eufina C. Tompkins;1
Eve Brodlique Summers;1
Ezra Pound, trans.;1
F. S. Putnam;1
Florence D. Snelling;1
Frances Morrison;1
Francesca Rios;1
Francis Howard Williams;1
Francis Thompson;1
Franz Werfel;1
G. O. Warren;1
Georg Heym;1
George Marian;1
George W. Priest;1
Gladys Hensel;1
Godwin Trezevant Carrall;1
Goodrich C. Schauffler;1
Gordon Bottomley;1
Gordon Hamilton;1
Grace Hodsdon Boutelle;1
Grace Stone Coates;1
Grant H. Code;1
Gretchen Warren;1
Hall Roffey;1
Harold Crawford Stearns;1
Harold Vinal;1
Harrison S. Morris;1
Hazel C. Hutchison;1
Hazel Rawson Cades;1
Helen C. Russmann;1
Helen Coale Crew;1
Helen Cowles Le Cron;1
Henry C. Thomas;1
Henry Dumont;1
Herbert J. Hall;1
Herbert Trench;1
Hildegarde Flanner;1
Hokusai;1
Howard Buck;1
Howard Unger;1
Iris Tree;1
Irwin Granich;1
Isabel Howe Fiske;1
Isabel McKinney;1
Ivan Swift;1
J. C. Chadwick;1
J. E. Scruggs;1
J. M. March;1
Jack Merten;1
James Branch Cabell;1
James Rorty;1
Jane Heap;1
Jean Catel;1
John Alford;1
John Bakeless;1
John Black;1
John G. Neihardt;1
John Peale Bishop;1
John Pierre Roche;1
John Regnault Ellyson;1
John S. Miller, Jr.;1
John Towner Frederick;1
Joseph Walleser;1
Julia R. Reynolds;1
Julia Weld Huntington;1
Julia Wickham Greenwood;1
Katherine Riggs;1
Kay Boyle;1
Keene Wallis;1
Kendall Banning;1
Kleofas Jurgelionis, trans.;1
Laurence Vail;1
Leone Baker;1
Leone Kelley;1
Louise Adèle Carter;1
Louise Brooke;1
Louise Jones;1
Louise Mallinkrodt Kueffner;1
Louise Mary Bowman;1
Lucia Peeples;1
Luella Stewart;1
Lulu W. Knight;1
Lyman Bryson;1
Lysiane Bernhardt;1
M. D. Armstrong;1
Mabel Barker Huddleston;1
Mabel Cornelia Matson;1
Mabel D. Carry;1
Madeline Yale Wynne;1
Mahdah Payson;1
Margaret Belle Houston;1
Margaret I. Postgate;1
Margaret Judson;1
Margaret McKenny;1
Margaret Sackville;1
Margaret Steele Anderson;1
Margery Swett;1
Marguerite Zorach;1
Maria Elmendorf Lillie;1
Marian Ramié;1
Marian Thanhouser;1
Marion Ethel Hamilton;1
Mary Eleanor Roberts;1
Mary Gray;1
Mary White Slater;1
Mary Willis Shuey;1
Matthew Josephson;1
Max Endicoff;1
Maxwell Struthers Burt;1
Medora C. Addison;1
Mildred Weston;1
Mildrid Cummer Wood;1
Minor Watson;1
Mortimer J. Adler;1
Mrs. Schuyler Van Rensselaer;1
Muriel Safford;1
Nancy Byrd Turner;1
Nathan Haskell Dole;1
Night;1
Nora B. Cunningham;1
Odell Shepard;1
Olive Runner;1
Owen F. Aldis;1
P. T. R.;1
Palace-attendant Kuo;1
Parke Farley;1
Paul Eldridge;1
Paul F. Sifton;1
Pauline D. Partridge;1
Peter Norden;1
Philip Becker Goetz;1
Ralph Block;1
Ralph Cheever Dunning;1
Raymond P. Fischer;1
Raymond Peckham Holden;1
Rebecca Park Lawrence;1
Reeves Brook;1
Remy de Gourmont;1
Richard Hughes;1
Richard Schaukal;1
Rita Benton;1
Robert Calvin Whitford;1
Robert Paine Scripps;1
Robert Rand;1
Roger L. Sergel;1
Rollo Britten;1
Rosalie Jonas;1
Roscoe W. Brink;1
Rose Henderson;1
Roy Temple House;1
Rudolph Altrocchi;1
Ruth Comfort Mitchell;1
Ruth Hall;1
Ruth Loomis Skeen;1
Ruth Mason Rice;1
Sally Bruce Kinsolving;1
Sarah N. Cleghorn;1
Sarah-Margaret Brown;1
Sherard Vines;1
Shirley Harvey;1
Solomon J. D. Fendell;1
Stella Benson;1
Suzette Herter;1
T. D. O’Bolger;1
T. Sturge Moore;1
the River;1
Theodosia Garrison;1
Thomas Moult;1
Tudor Jenks;1
V. H. Friedlaender;1
Walter McClellan;1
Wilhelm Klemm;1
William A. Norris;1
William Ellery Leonard;1
William Vaughan Moody;1
Williston Fish;1
Winifred Welles;1
Witter Bynner, trans.;1
Yone Noguchi;1
